table_name,source_column,source_id,rows
training_matrix_optical_matched_3d.csv,source_id_optical,gee_hls_s30_l30,144
training_matrix_optical_matched_3d.csv,source_id_optical,gee_landsat_c2_l2,184
training_matrix_optical_matched_3d.csv,source_id_optical,gee_sentinel2_sr_harmonized,46
training_matrix_optical_matched_3d.csv,source_id_hydroclimate,,13
training_matrix_optical_matched_3d.csv,source_id_hydroclimate,gee_era5_land,320
training_matrix_optical_matched_3d.csv,source_id_hydroclimate,old_arctic_doc_snowmelt_untrained_data,41
training_matrix_optical_matched_3d_hls.csv,source_id_optical,gee_hls_s30_l30,144
training_matrix_optical_matched_3d_hls.csv,source_id_hydroclimate,,12
training_matrix_optical_matched_3d_hls.csv,source_id_hydroclimate,gee_era5_land,120
training_matrix_optical_matched_3d_hls.csv,source_id_hydroclimate,old_arctic_doc_snowmelt_untrained_data,12
training_matrix_optical_matched_3d_landsat.csv,source_id_optical,gee_landsat_c2_l2,184
training_matrix_optical_matched_3d_landsat.csv,source_id_hydroclimate,,1
training_matrix_optical_matched_3d_landsat.csv,source_id_hydroclimate,gee_era5_land,157
training_matrix_optical_matched_3d_landsat.csv,source_id_hydroclimate,old_arctic_doc_snowmelt_untrained_data,26
training_matrix_optical_matched_3d_sentinel2.csv,source_id_optical,gee_sentinel2_sr_harmonized,46
training_matrix_optical_matched_3d_sentinel2.csv,source_id_hydroclimate,gee_era5_land,43
training_matrix_optical_matched_3d_sentinel2.csv,source_id_hydroclimate,old_arctic_doc_snowmelt_untrained_data,3
training_matrix_optical_matched_7d.csv,source_id_optical,gee_hls_s30_l30,147
training_matrix_optical_matched_7d.csv,source_id_optical,gee_landsat_c2_l2,226
training_matrix_optical_matched_7d.csv,source_id_optical,gee_sentinel2_sr_harmonized,47
training_matrix_optical_matched_7d.csv,source_id_hydroclimate,,15
training_matrix_optical_matched_7d.csv,source_id_hydroclimate,gee_era5_land,355
training_matrix_optical_matched_7d.csv,source_id_hydroclimate,old_arctic_doc_snowmelt_untrained_data,50
